ID,name,uuid,text
daily_interaction,,,"I've got another lesson ready for you! Is now a good time to continue with the course, {{1}}?

Press a number on your keypad:
1. Yes
2. No, remind me tomorrow. "
first_module_intro,,,"It’s time to get started on your course, {{1}}. Are you ready?

Press a number on your keypad:
1. Yes!
2. Remind me tomorrow"
start_started_mod_or_change_goal_one,,,"You're almost finished with this course! You only have 1 unfinished lesson. What would you like to do?

Press a number on your keypad:
1. Finish this lesson and earn my course certificate
2. Leave this course unfinished and select a new course"
start_started_mod_or_change_goal_multiple,,,"You're almost finished with this course! You have @fields.c_n_mod_started unfinished lessons. What would you like to do?

Press a number on your keypad:
1. Complete unfinished lessons to earn my course certificate
2. Leave this course unfinished and select a new course"
start_started_mod_or_later_one,,,"You're almost finished with this course! You only have 1 unfinished lesson. What would you like to do?

Press a number on your keypad:
1. Finish this lesson and earn my course certificate
2. Remind me tomorrow"
start_started_mod_or_later_multiple,,,"You're almost finished with this course! You have @fields.c_n_mod_started unfinished lessons. What would you like to do?

Press a number on your keypad:
1. Complete unfinished lessons to earn my course certificate
2. Remind me tomorrow"
unfinished_onboarding,,,"ParentText has begun. Are you ready to complete your registration and get started?

Press a number on your keypad:
1. Yes
2. Remind me Later"
select_goal,,,"You have made great progress. Are you ready to select your next parenting course?

Press a number on your keypad:
1. Yes
2. I don't want to take another course
3. Remind me Later"
no_response,,,"These messages don’t seem to be working. When you are ready to keep going, press 1. "
complete_start_module,,,"You’re off track! Do you want to complete a previous lesson or start a new lesson?

Press a number on your keypad:
1. Complete
2. Start new"
new_goals_available,,,"There are new parenting courses available for you! 

Press a number on your keypad:
1. Tell me about them!
2. No thanks! I am already a parenting expert and don't need another course. "
new_goal_available,,,"There is a new parenting course available for you! 

Press a number on your keypad:
1. Tell me about it!
2. No thanks! I am already a parenting expert and don't need another course. "
