"ID","name","uuid","text"
"daily_interaction","","","¡Tengo otra sesión preparada para ti! ¿Es un buen momento para continuar con el curso, {{1}}?

Presiona un número en el teclado:
1. Sí
2. No, recuérdamelo mañana, por favor. "
"first_module_intro","","","Es hora de empezar el curso, {{1}}. ¿Estás listo?

Presiona un número en el teclado:
1. ¡Sí!
2. Recuérdamelo mañana, por favor."
"start_started_mod_or_change_goal_one","","","¡Ya casi terminas este curso! Solo te queda 1 sesión por completar. ¿Qué te gustaría hacer?

Presiona un número en el teclado:
1. Terminar esta sesión y obtener mi reconocimiento del curso
2. Dejar este curso sin terminar y seleccionar un curso nuevo"
"start_started_mod_or_change_goal_multiple","","","¡Ya casi terminas este curso! Te quedan @fields.c_n_mod_started sesiones por completar. ¿Qué te gustaría hacer?

Presiona un número en el teclado:
1. Terminar esta sesión y obtener mi reconocimiento del curso
2. Dejar este curso sin terminar y seleccionar un curso nuevo"
"start_started_mod_or_later_one","","","¡Ya casi terminas este curso! Solo te queda 1 sesión por completar. ¿Qué te gustaría hacer?

Presiona un número en el teclado:
1. Terminar esta sesión y obtener mi reconocimiento del curso
2. Recordármelo mañana"
"start_started_mod_or_later_multiple","","","¡Ya casi terminas este curso! Te quedan @fields.c_n_mod_started sesiones por completar. ¿Qué te gustaría hacer?

Presiona un número en el teclado:
1. Terminar esta sesión y obtener mi reconocimiento del curso
2. Recordármelo mañana"
"unfinished_onboarding","","","El Curso Crianza con Conciencia Positiva ha comenzado. ¿Estás listo para completar tu registro y empezar?

Presiona un número en el teclado:
1. Sí
2. Recuérdamelo más tarde, por favor."
"select_goal","","","Has logrado un gran avance. ¿Estás listo para seleccionar tu siguiente sesión de crianza?

Presiona un número en el teclado:
1. Sí
2. No quiero hacer otra sesión, gracias.
3. Recuérdamelo más tarde, por favor."
"no_response","","","Parece que este no es un buen momento. Presiona 1 cuando estés listo para continuar. "
"complete_start_module","","","¡Te desviaste un poco! ¿Quieres completar una de las sesiones anteriores o empezar una nueva?

Presiona un número en el teclado:
1. Completar
2. Empezar nueva"
"new_goals_available","","","¡Hay nuevos cursos de crianza disponibles para ti! 

Presiona un número en el teclado:
1. ¡Cuéntame de ellas!
2. No, ¡gracias! Ya soy un experto en crianza y no necesito otro curso. "
"new_goal_available","","","¡Hay nuevos curso de crianza disponible para ti! 

Presiona un número en el teclado:
1. ¡Cuéntame de ellos!
2. No, ¡gracias! Ya soy un experto en crianza y no necesito otro curso. "
