"ID","languages.1"
"code","eng"
"take_a_pause","Ukuthatha ikhefu"
"one_on_one_teen","Ukuchitha Isikhathi Esikhethekile Nengane Yami"
"praise_teen","Ukuncoma"
"talk_feelings_teen","Ukukhuluma Ngemizwa"
"care_myself_teen","Ukuzinakekela"
"mental_changes_teen","Izinguquko Zengqondo Eminyakeni Yezingane Ezisakhula"
"social_changes_teen","Izinguquko Zomphakathi Eminyakeni Yezingane Ezisakhula"
"physical_changes_teen","Izinguquko Emzimbeni Eminyakeni Yezingane Ezisakhula"
"fun_learning_teen","Ukufunda Ngendlela Emnandi"
"help_teen_learn_teen","Ukusiza Ingane Yakho Ukuthi Ifunde"
"positive_learning_teen","Ukwenzela Ingane Yakho Indawo Yokufundela Elungile"
"learning_mistakes_teen","Ukufunda Emaphutheni"
"learning_with_people_teen","Ukufunda Ukusebenzisana Nabanye Abantu"
"routines_teen","Ukwakha Izinqubomgomo Nengane Yami"
"rules_teen","Ukubeka Imithetho Yasekhaya"
"online_safety_teen","Ukwazi Izisekelo Zokuphepha kwi-Inthanethi"
"habits_online_teen","Ukwakha Imikhuba Nokwethemba Ku-inthanethi"
"budget_needs_teen","Ukuqonda ngalokho Okudingekayo kanye nalokho Okufunekayo"
"budget_expenses_teen","Ukukhuluma Ngezindleko Zanyanga Zonke"
"budget_monthly_teen","Ukwenza Ibhajethi Yanyanga Zonke"
"budget_savings_teen","Ukwenza Uhlelo Lokulondoloza Imali"
"kind_to_myself_teen","Ukuba noMusa Kimi"
"stress_teen","Ukusiza Ingane Yami Mayelana ne-Stress"
"show_kindness_teen","Ukukhombisa Ingane yami Uzwelo"
"stress_signs_teen","Ukwazi Izexwayiso"
"manage_stress_teen","Ukulawula i-Stress Sami"
"misbehave_teen","Ukubhekana Nokungaziphathi Kahle Kwezingane"
"solve_problems_teen","Ukuxazulula Izinkinga Nengane Yami"
"consequences_teen","Ukufundisa Ingane yami Mayelana Nemiphumela Yezenzo"
"community_safety_teen","Ukwakha Ezokuphepha Komphakathi"
"self_defence_teen","Ukufundisa Ukuzivikela"
"sex_violence_teen","Ukuvikela Ukuhlukumezeka Ngokocansi"
"crises_teen","Ukubhekana Nesimo Esibucayi"
"ipv_equals","Ukuphathana Ngendlela Yokulingana"
"ipv_supportive","Ukuba Nguphathina Nomzali Owesekayo"
"ipv_sharing","Ukusizana Ngemisebenzi Yasekhaya"
"ipv_conflicts","Ukusombulula Ingxabano Ngokuthula"
"ipv_listen","Ukulalelana Nokukhulumisana"
